,DATE,S,I,Q,R,D,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10
67,2020-04-03,51339407.48793393,89.16881458301619,3852.594888848641,207.34046540596432,4.171418906094492,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
68,2020-04-04,51339553.6144601,79.76914799667122,3734.2529821255907,188.20291073706335,4.924020715340816,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
69,2020-04-05,51339697.75990692,69.48506435265041,3621.9743589743703,166.02762226836072,5.516569159923099,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
70,2020-04-06,51339827.97778748,59.28595071811719,3521.30406586613,146.5571780591496,5.63853955089785,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
71,2020-04-07,51339944.54349176,50.15514432514997,3428.4238950394656,132.25707578234832,5.383914769888103,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
72,2020-04-08,51340050.787878945,43.07946994705594,3337.1748251748354,124.77354301428137,4.94780459115853,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
73,2020-04-09,51340149.986741155,38.725801121783206,3242.9732731379977,124.57782161553367,4.499884642566162,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
74,2020-04-10,51340245.19560214,36.481206445843455,3147.5374085359144,127.44121058373149,4.108093966337496,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
75,2020-04-11,51340339.41491857,35.41280328038924,3054.1608391608484,127.96002320076154,3.8149374582913933,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
76,2020-04-12,51340434.78568656,34.66753152361926,2965.432989212087,122.23744002905045,3.639874350246932,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
77,2020-04-13,51340530.01105997,33.711621221916715,2881.126548517012,112.40411075318465,3.510181218024051,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
78,2020-04-14,51340622.934732094,32.09112495871091,2800.310023310032,102.09755233829064,3.3300889734429067,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
79,2020-04-15,51340711.647514336,29.51946623798227,2722.037669089943,94.52755876783505,3.0313132405983345,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
80,2020-04-16,51340795.228690416,26.37955224591566,2645.3067384130986,91.19303209864545,2.6555084926838988,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
81,2020-04-17,51340873.004662156,23.221661089247014,2569.100233100241,93.16515140588967,2.2718139151678454,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0
82,2020-04-18,51340945.73761281,20.543734352431443,2491.9075715860963,100.63598132769557,1.9386215845655532,3.0,3.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0
83,2020-04-19,51341019.93285148,18.634367530800656,2410.243838761318,110.28112875403116,1.6713351415809372,3.0,3.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0
84,2020-04-20,51341103.53146869,17.72981959740551,2320.130536130543,117.89708613782446,1.474611117965046,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
85,2020-04-21,51341202.11791203,17.893181812059602,2219.1352043688776,120.26501703564682,1.3522064192690286,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
86,2020-04-22,51341311.85005739,18.494874581627496,2111.0095408333077,118.10476941864289,1.3042794462444314,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
87,2020-04-23,51341426.529137686,18.73215059973651,2001.0512820512881,113.12086236160067,1.330088973442901,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
88,2020-04-24,51341540.14660633,18.052924774232,1894.34527406543,106.79999580352563,1.4187206979831934,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
89,2020-04-25,51341647.454798676,16.90776086983154,1795.1248009789604,99.75759314029335,1.5185680072525045,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
90,2020-04-26,51341743.39627056,15.99788486547077,1707.4102564102618,92.39125863199689,1.5678512112051393,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
91,2020-04-27,51341824.602319896,15.800843202251963,1633.8329180519902,84.99936065904127,1.5280798707575123,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
92,2020-04-28,51341894.45921297,15.899464169944004,1571.4675998938962,77.48332408307938,1.4539205506744768,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
93,2020-04-29,51341958.0419582,15.652896520482422,1516.0000000000045,69.64533788607606,1.4233290666829945,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
94,2020-04-30,51342019.254181534,14.635699514272664,1463.6241846944379,61.76620590171633,1.4832500267338653,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
95,2020-05-01,51342077.313979305,13.28407444559985,1412.5676933417112,56.04119137056586,1.5565832076732402,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
96,2020-05-02,51342130.26806542,12.24963311721901,1361.5664335664378,55.14417238491053,1.5352171785711062,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
97,2020-05-03,51342177.329068534,12.135682092162785,1309.539807039749,60.41234965505636,1.3466143567915934,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
98,2020-05-04,51342222.37327616,13.352306974574239,1256.1411916188492,67.83621436339006,1.0605325528753964,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
99,2020-05-05,51342270.4428906,16.261288128874035,1201.207459207463,72.06958031031849,0.7823034256573514,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
100,2020-05-06,51342324.259813786,20.962209463228938,1145.5913605213648,69.34988735464572,0.6002505428479863,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
101,2020-05-07,51342377.26474638,26.505869060790026,1094.2091615245358,62.24907958876464,0.5346651076605937,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
102,2020-05-08,51342420.57808873,31.680868548454498,1052.9930069930103,54.92272716346531,0.5888302321841574,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
103,2020-05-09,51342448.003687955,35.42539133701496,1026.0089354556656,50.57424375693257,0.7512631641530411,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
104,2020-05-10,51342464.0791784,37.27594797284577,1009.8585604527588,48.59841715693021,0.9514176938831261,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
105,2020-05-11,51342476.02564119,36.918630786216745,999.2773892773922,47.4378786786168,1.103981747335674,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
106,2020-05-12,51342489.856057785,34.31550537350713,989.4480940645221,45.99940304165161,1.1444614104280135,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
107,2020-05-13,51342506.75101098,30.53253039553396,977.3420063165231,45.04633858369678,1.0916354089017495,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
108,2020-05-14,51342526.682983845,26.911637779223717,960.3776223776252,45.80617704691517,0.9851006284545546,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
109,2020-05-15,51342549.64106226,24.526780588665645,936.6801697677454,49.05222181163413,0.863287246654515,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
110,2020-05-16,51342575.680743106,23.379996436600052,907.201800709552,53.74102281083904,0.7599586085513709,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
111,2020-05-17,51342604.87412603,23.205344072930004,873.6013986014011,58.37494161567976,0.7077113510652765,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
112,2020-05-18,51342637.314736865,23.748830648804265,837.550902250855,61.41889545009304,0.7301564575110031,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
113,2020-05-19,51342673.18180621,24.804256920354483,800.7744721022993,61.18802414916317,0.814962296781794,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
114,2020-05-20,51342712.675990835,26.177372044957984,765.0093240093262,55.960023200761334,0.9408115841655104,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
115,2020-05-21,51342754.21628234,27.830914374650433,732.4226185352469,45.21553510909459,1.0781713121760825,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
116,2020-05-22,51342789.09501152,30.355579040100785,706.901295082249,33.246990443713585,1.1646455822317194,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
117,2020-05-23,51342806.82284398,34.499050366636325,692.7622377622398,25.549766790504854,1.1296227729766994,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
118,2020-05-24,51342800.6428922,40.56845136571587,692.7798616294085,25.836696342356124,0.9356201323700626,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
119,2020-05-25,51342778.72805626,47.10865979332432,703.558705507075,30.690429720159987,0.6776703856298969,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
120,2020-05-26,51342752.98368314,52.2239920915781,720.1608391608413,34.91107215181023,0.48393512728905236,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
121,2020-05-27,51342732.83659941,54.46887960826807,738.3717741943037,34.636392497955654,0.4498759556616868,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
122,2020-05-28,51342717.79955016,54.198213313882746,756.8707895630366,31.354814150265046,0.540154484187189,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
123,2020-05-29,51342704.90676007,52.2169990845851,775.0606060606084,27.892424133162194,0.6867323300862554,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
124,2020-05-30,51342691.54131628,49.39726324796095,792.6053544657025,26.395398554581238,0.8241891310864945,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
125,2020-05-31,51342676.48175578,46.87911393728773,810.2148054974612,26.290269856497744,0.8975766069431617,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
126,2020-06-01,51342658.85547802,45.869679737265734,828.8601398601423,26.323659564397616,0.8545644979184236,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
127,2020-06-02,51342638.04933216,47.154620484623905,849.303415039508,25.58117519397631,0.6749788017271695,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
128,2020-06-03,51342614.48796624,49.833721024205765,871.4701956473402,24.504368221767443,0.4672705458951757,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
129,2020-06-04,51342588.85547801,52.58529745288347,895.0769230769257,23.87377611451416,0.3720470154009401,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
130,2020-06-05,51342561.88105735,54.34331571145367,919.7724556344178,24.28410445147893,0.48258852882124575,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
131,2020-06-06,51342534.474262476,55.064341116411065,944.9353192774344,25.586731262001457,0.7028675391260159,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
132,2020-06-07,51342507.58974375,54.96058882817485,969.8764568764598,27.447202687940745,0.8895295328834586,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
133,2020-06-08,51342482.19584284,54.20690060986146,993.9678951173034,29.45875962088888,0.9341234825677976,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
134,2020-06-09,51342459.31566683,52.82862463537621,1016.8259959470746,30.92542195137027,0.8678123042773193,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
135,2020-06-10,51342439.98601414,50.81373568132169,1038.1282051282083,31.078904319642383,0.7566624000163256,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
136,2020-06-11,51342424.4705977,48.34673723893867,1057.7210679281575,29.56700852887868,0.6581102782238544,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
137,2020-06-12,51342409.94078847,46.39824765802082,1076.1275276344495,27.70188503391659,0.5950728730778894,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
138,2020-06-13,51342392.794871956,46.13541400300001,1094.0396270396304,27.21177145250951,0.5818372251911503,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
139,2020-06-14,51342370.70955977,48.278377178793306,1112.1947122169656,28.959875728027548,0.6209967855550516,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
140,2020-06-15,51342346.47526811,51.75925345225859,1131.5113423625962,30.349287106307592,0.6683706466757848,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
141,2020-06-16,51342324.16083932,55.06315293073895,1152.9533799533835,27.918065158803216,0.6680843114382367,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
142,2020-06-17,51342305.93894111,56.909779288096075,1177.3251716957564,20.003632080249652,0.5859975011077455,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
143,2020-06-18,51342286.39754262,56.95721046426615,1204.7930012144182,12.14086055850873,0.4749068104714591,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
144,2020-06-19,51342258.228438385,55.09811796570399,1235.3636363636401,11.663985904723937,0.40934305269697735,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
145,2020-06-20,51342217.78064066,51.56070668587287,1267.3275311562938,23.654940024746207,0.43970314149411466,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
146,2020-06-21,51342176.03203277,47.91531506626997,1292.1098842396514,44.186441203256315,0.5198483927415427,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
147,2020-06-22,51342147.617715776,46.06781493540093,1299.4195804195842,67.07890431964249,0.5795062228601477,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
148,2020-06-23,51342144.168748416,47.32067398054187,1281.7626144103344,86.94689983548605,0.5645850357677809,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
149,2020-06-24,51342165.30002007,50.562743324050736,1242.8334205596248,101.58162054114067,0.48571718537015235,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
150,2020-06-25,51342207.62237778,54.07946994705596,1189.1235431235468,109.5684148091531,0.36971601306993745,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
151,2020-06-26,51342266.31126641,56.51151428572592,1127.5584698055154,110.13673132367619,0.24553985247478047,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0
